m_code,description,d_code_today,d_code_yesterday
M800,Base open end OFF ,D5000,D5100
M801,Side1 open end OFF,D5001,D5101
M802,Side2 open end OFF,D5002,D5102
M803,Side3 open end OFF,D5003,D5103
M804,Side4 open end OFF,D5004,D5104
M805,Lower down end OFF,D5005,D5105
M806,Upper open end OFF,D5006,D5106
M807,Upper-L unlock OFF,D5007,D5107
M808,Upper-R unlock OFF,D5008,D5108
M809,Lower lock OFF,D5009,D5109
M810,Tilt up end OFF,D5010,D5110
M811,Cooling mode is wrong,D5011,D5111
M812,Side die out of temp,D5012,D5112
M813,Pouring interference,D5013,D5113
M814,Take out interference,D5014,D5114
M815,Ready OFF,D5015,D5115
M816,,D5016,D5116
M817,MB LS ERROR,D5017,D5117
M818,SM1 LS ERROR,D5018,D5118
M819,SM2 LS ERROR,D5019,D5119
M820,SM3 LS ERROR,D5020,D5120
M821,SM4 LS ERROR,D5021,D5121
M822,LM LS ERROR,D5022,D5122
M823,UM LS ERROR,D5023,D5123
M824,UL-L LS ERROR,D5024,D5124
M825,UL-R LS ERROR,D5025,D5125
M826,LL LS ERROR,D5026,D5126
M827,LM Cycle Timeover,D5027,D5127
M828,UM Cycle Timeover,D5028,D5128
M829,UL Cycle Timeover,D5029,D5129
M830,MB Cycle Timeover,D5030,D5130
M831,"SM1,4 Cycle Timeover",D5031,D5131
M832,"SM2,3 Cycle Timeover",D5032,D5132
M833,LL Cycle Timeover,D5033,D5133
M834,UM Thermo CUT,D5034,D5134
M835,LM Thermo CUT,D5035,D5135
M836,SM Thermo CUT,D5036,D5136
M837,,D5037,D5137
M838,UM Low Temp,D5038,D5138
M839,UM Over Temp,D5039,D5139
M840,LM Low Temp,D5040,D5140
M841,LM Over Temp,D5041,D5141
M842,SM Low Temp,D5042,D5142
M843,SM Over Temp,D5043,D5143
M844,Pouring COMP Timeover,D5044,D5144
M845,Aluminum stuck in hopper,D5045,D5145
M846,Aluminum stuck in center,D5046,D5146
M847,,D5047,D5147
M848,,D5048,D5148
M849,,D5049,D5149
M850,QD77 Detect error SV1,D5050,D5150
M851,QD77 Detect error SV2,D5051,D5151
M852,Servo alarm SV1,D5052,D5152
M853,Servo alarm SV2,D5053,D5153
M854,,D5054,D5154
M855,,D5055,D5155
M856,,D5056,D5156
M857,,D5057,D5157
M858,,D5058,D5158
M859,,D5059,D5159
M860,Center Cooling stuck close,D5060,D5160
M861,PCD Cooling stuck close,D5061,D5161
M862,Side1L Cooling stuck close,D5062,D5162
M863,Side1R Cooling stuck close,D5063,D5163
M864,Side2L Cooling stuck close,D5064,D5164
M865,Side2R Cooling stuck close,D5065,D5165
M866,Upper G Cooling stuck close,D5066,D5166
M867,Upper Int Cooling stuck close,D5067,D5167
M868,Upper OS Cooling stuck close,D5068,D5168
M869,,D5069,D5169
M870,Center cooling low flow rate,D5070,D5170
M871,PCD cooling low flow rate,D5071,D5171
M872,Side1L cooling low flow rate,D5072,D5172
M873,Side1R cooling low flow rate,D5073,D5173
M874,Side2L cooling low flow rate,D5074,D5174
M875,Side2R cooling low flow rate,D5075,D5175
M876,,D5076,D5176
M877,,D5077,D5177
M878,,D5078,D5178
M879,,D5079,D5179
M880,Center Cooling stuck open,D5080,D5180
M881,PCD Cooling stuck open,D5081,D5181
M882,Side1L Cooling stuck open,D5082,D5182
M883,Side1R Cooling stuck open,D5083,D5183
M884,Side2L Cooling stuck open,D5084,D5184
M885,Side2R Cooling stuck open,D5085,D5185
M886,Upper G Cooling stuck open,D5086,D5186
M887,Upper Int Cooling stuck open,D5087,D5187
M888,Upper OS Cooling stuck open,D5088,D5188
M889,,D5089,D5189
M890,,D5090,D5190
M891,,D5091,D5191
M892,,D5092,D5192
M893,,D5093,D5193
M894,,D5094,D5194
M895,,D5095,D5195
M896,,D5096,D5196
M897,,D5097,D5197
M898,,D5098,D5198
M899,,D5099,D5199
